song_id,title_original,title_ko,producers,vocal_engines,main_link,lyrics_file,mood_tags,joy,sadness,dreamy,tension,dark,energy,cute,chaotic
s0001,オーバー！,오버!,Iyowa,"하츠네 미쿠(初音ミク),카아이 유키(歌愛ユキ)",https://youtu.be/_ZKSftirY3A?si=UE_klQDSAoWUInZP,s0001.txt,"dreamy,cute,chaotic,hopeful",62,28,61,37,29,52,60,54
s0002,たぶん終わり,아마도 끝,Iyowa,"하츠네 미쿠(初音ミク),v flower",https://youtu.be/GiDo4s1x9Mw?si=rr2oR3Jd7zRtMbXH,s0002.txt,"dreamy,lonely,nostalgic,mysterious",23,87,100,30,64,0,10,23
s0003,あだぽしゃ,애디포시어,Iyowa,하츠네 미쿠(初音ミク),https://youtu.be/Wr-2xcQkke4?si=6OD9ntelmHyA_83j,s0003.txt,"dreamy,dark,chaotic,despair",0,87,56,70,99,27,10,79
s0004,きゅうくらりん,두근 어질,Iyowa,카후(可不),https://youtu.be/2b1IexhKPz4?si=nD-pQOwKxTMXBfyn,s0004.txt,"dreamy,cute,chaotic,mysterious,despair",19,71,76,70,79,33,49,72
s0005,つづみぐさ,민들레,Iyowa,하츠네 미쿠(初音ミク),https://youtu.be/FpoZKD_nqbc?si=DjxvvwT0jlhWqJbK,s0005.txt,"dreamy,chaotic,nostalgic,mysterious",23,60,96,57,60,23,10,67
s0006,熱異常,열이상,Iyowa,"하츠네 미쿠(初音ミク),아다치 레이(足立レイ)",https://youtu.be/b2NTglk9tvI?si=Gr7I3zsZYKD4aQPp,s0006.txt,"sad,dreamy,chaotic,horror,despair",0,100,60,88,100,22,10,83
s0007,バベル,바벨,Iyowa,카사네 테토(重音テト),https://youtu.be/zSKwxQqrac0?si=hAYTKyIuxjY2aGK3,s0007.txt,"dreamy,cute,nostalgic,hopeful",66,50,84,10,25,23,60,10
s0008,ももいろの鍵,복숭아색 열쇠,Iyowa,하츠네 미쿠(初音ミク),https://youtu.be/sAUdWpemfGw?si=PLUJ4IUCtuCd6owO,s0008.txt,"dreamy,mysterious,hopeful",43,35,97,33,40,24,17,25
s0009,SLIP,슬립,Iyowa,GUMI,https://youtu.be/B62fBqw2gDM?si=Ke183cUY7QtpDn6b,s0009.txt,"sad,dreamy,lonely,nostalgic",27,100,90,10,55,0,10,10
s0010,散歩の邪魔,산책의 방해,Iyowa,카스카베 츠무기(春日部つむぎ),https://youtu.be/ctAMLdnQUfI?si=Ctsc4tM4V-KiIji9,s0010.txt,"happy,cute,funny",100,4,11,10,5,63,97,39
s0011,SHIAWASE FOR YOU!,시아와세 포 유,Iyowa,하츠네 미쿠(初音ミク),https://youtu.be/D7-lYDOpA50?si=yRxZEFQ9iRcvqKTQ,s0011.txt,"happy,cute,energetic",83,10,11,25,15,77,75,25
s0012,メルト・アイスクリーム,멜트 아이스크림,TRAP CHICK,"카사네 테토(重音テト),하츠네 미쿠(初音ミク)",https://youtu.be/aDA1B_We5w8?si=uOaxjolQYL4l2Y_h,s0012.txt,"dreamy,chaotic,horror",3,47,64,87,80,39,10,90
s0013,処刑拍手,처형박수,TRAP CHICK,카사네 테토(重音テト),https://youtu.be/YcxhmHEykPg?si=mluvXG1GC-au6ZuO,s0013.txt,"dark,angry,horror",0,72,24,100,100,53,10,90
s0014,承認してください、ジーニーさん！,승인해주세요 지니님!,TRAP CHICK,"카사네 테토(重音テト),오토마치 우나(音街ウナ)",https://youtu.be/XKZIQlqVjjk?si=QJAC3kNYZRQ3EcSy,s0014.txt,"cute,energetic,fast",58,16,11,41,25,87,61,39
s0015,mochimochi,모찌모찌,TAK,하츠네 미쿠(初音ミク),https://youtu.be/tQM8pfwmcU0?si=6muw7YQciQsSYSXV,s0015.txt,"happy,cute,energetic",83,10,11,25,15,77,75,25
s0016,LEMON MELON COOKIE,레몬 멜론 쿠키,TAK,하츠네 미쿠(初音ミク),https://youtu.be/5l8VZEyNRH8?si=Qzb9uMxBN6fBhtKd,s0016.txt,"happy,cute,energetic,electronic",83,12,27,37,16,86,67,35
s0017,PPPP,PPPP,TAK,"카사네 테토(重音テト),하츠네 미쿠(初音ミク)",https://youtu.be/8Cm-7oCq9HA?si=MEyDoWowh4W2diPy,s0017.txt,"cute,funny,fast",78,10,11,25,15,73,83,54
s0018,MTMTM,MTMTM,TAK,하츠네 미쿠(初音ミク),https://youtu.be/pIuQ_us5W4Y?si=v9-5O8zcPp1-lpty,s0018.txt,"happy,cute,chaotic,horror",49,28,21,77,60,65,67,79
s0019,numb numb,numb numb,TAK,"카사네 테토(重音テト),하츠네 미쿠(初音ミク)",https://youtu.be/ba7YbGO2aq4?si=-oNvcQ_TDlzjw3I9,s0019.txt,"dreamy,calm,romantic,electronic",53,50,100,3,29,10,23,10
s0020,次元通信,차원통신,뭐든지모에화,"카사네 테토(重音テト),하츠네 미쿠(初音ミク)",https://youtu.be/PqpCRSOUuIE?si=jDhzPxkm7B6SnpMG,s0020.txt,"sad,chaotic,mysterious,electronic",27,66,56,70,60,44,10,79
s0021,ヤラララ,야라라라,뭐든지모에화,카사네 테토(重音テト),https://youtu.be/T24rF_x0TmQ?si=46hnCYB4N6z17u2t,s0021.txt,"energetic,angry,horror,hopeful",32,39,27,100,68,90,16,79
s0022,アンドロイドガール,안드로이드 걸,DECO*27,하츠네 미쿠(初音ミク),https://youtu.be/uFRPeiAEO0M?si=N8WltLK-lMHfXGGG,s0022.txt,"sad,cute,angry,rock",36,76,16,70,60,65,54,54
s0023,ストリーミングハート,스트리밍 하트,DECO*27,하츠네 미쿠(初音ミク),https://youtu.be/9DD6JvY06Ok?si=ZRaZ5QhGXdqU-3Xe,s0023.txt,"dark,angry,chaotic,rock",10,60,10,100,90,86,10,100
s0024,ゴーストルール,고스트 룰,DECO*27,하츠네 미쿠(初音ミク),https://youtu.be/KushW6zvazM?si=X-ePXyB3wBVl9RPe,s0024.txt,"dark,energetic,fast,rock",27,39,10,70,64,90,10,60
s0025,セカイ,세카이,DECO*27,하츠네 미쿠(初音ミク),https://youtu.be/9vyIPWBeRes?si=-teUK569SrgxAtFe,s0025.txt,"happy,hopeful",90,6,20,10,1,56,37,10
s0026,ヴァンパイア,뱀파이어,DECO*27,하츠네 미쿠(初音ミク),https://youtu.be/e1xCOsgWG0M?si=VocDX7okxYrzErsn,s0026.txt,"dark,energetic,romantic,fast",44,44,27,50,55,69,23,48
s0027,モザイクロール (Reloaded),모자이크 롤 (Reloaded),DECO*27,하츠네 미쿠(初音ミク),https://youtu.be/WysuxO4yR04?si=9rtZIVvNPaAgSKWW,s0027.txt,"dark,lonely,romantic,hopeful,rock",50,76,50,40,64,37,27,32
s0028,アニマル,애니멀,DECO*27,하츠네 미쿠(初音ミク),https://youtu.be/HtBqK6xsQ9k?si=ZNl0WMgJIlOC_znq,s0028.txt,"energetic,chaotic,romantic",53,35,24,56,35,73,25,75
s0029,サラマンダー,샐러맨더,DECO*27,하츠네 미쿠(初音ミク),https://youtu.be/-H2PCK7DJsQ?si=EHm747jk_3yofjtG,s0029.txt,"energetic,angry,fast,rock",32,34,4,97,51,100,10,79
s0030,パラサイト,패러사이트,DECO*27,하츠네 미쿠(初音ミク),https://youtu.be/agcoHM2CJ3s?si=DX6hBQczykqCztuL,s0030.txt,"dark,angry,lonely,romantic,hopeful",46,81,50,58,71,44,27,49
s0031,ラビットホール,래빗 홀,DECO*27,하츠네 미쿠(初音ミク),https://youtu.be/eSW2LVbPThw?si=u_JsIXVUWJOa1BgE,s0031.txt,"cute,energetic,chaotic,fast",53,18,10,63,34,98,54,79
